Overal Rank,City,Diversity Score,Latitude,Longitude
1,"New York, NY",69.38,40.7127281,-74.0060152
2,"Oakland, California",68.95,37.8044557,-122.2713563
3,"San Jose, CA",68.56,37.3361905,-121.8905833
4,"Sacramento, CA",66.33,38.5815719,-121.4943996
5,"San Francisco, California",66.29,37.7790262,-122.4199061
6,"Boston, MA",65.81,42.3602534,-71.0582912
7,"San Diego, CA",65.7,32.7174209,-117.1627714
8,"Los Angeles, CA",65.17,34.0536909,-118.2427666
9,"Long Beach, California",64.56,33.7690164,-118.1916048
10,"Houston, TX",64.36,29.7589382,-95.3676974
11,"Aurora, CO",63.47,39.729432,-104.8319196
12,"Las Vegas, NV",63.41,36.1672559,-115.1485163
13,"Arlington, TX",63.34,32.701938999999996,-97.10562379033699
14,"Chicago, IL",63.23,41.8755616,-87.6244212
15,"Dallas, TX",62.58,32.7762719,-96.7968559
16,"Anaheim, CA",62.18,33.8347516,-117.911732
17,"Tampa, FL",60.87,27.9477595,-82.458444
18,"Phoenix, AZ",60.8,33.4484367,-112.0741417
19,"Fresno, CA",60.72,36.7394421,-119.7848307
20,"Fort Worth, TX",60.57,32.753177,-97.3327459
21,"St. Paul, MN",59.65,44.9504037,-93.1015026
22,"Honolulu, HI",59.63,21.304547,-157.8556764
23,"Austin, TX",59.17,30.2711286,-97.7436995
24,"Tucson, AZ",58.73,32.2228765,-110.9748477
25,"Charlotte, NC",58.69,35.2272,-80.843083
26,"Bakersfield, CA",57.69,35.3738712,-119.0194639
27,"Denver, CO",57.14,39.7392364,-104.9848623
28,"Philadelphia, PA",56.17,39.9527237,-75.1635262
29,"Albuquerque, NM",55.79,35.0841034,-106.6509851
30,"Washington, DC",55.28,38.8949924,-77.0365581
31,"Milwaukee, WI",54.73,43.0349931,-87.922497
32,"Oklahoma City, OK",54.0,35.4729886,-97.5170536
33,"Minneapolis, MN",53.37,44.9772995,-93.2654692
34,"Tulsa, OK",53.31,36.1556805,-95.9929113
35,"Raleigh, NC",52.98,35.7803977,-78.6390989
36,"Seattle, WA",52.5,47.6038321,-122.3300624
37,"San Antonio, TX",52.5,29.4246002,-98.4951405
38,"Nashville, TN",52.09,36.1622296,-86.7743531
39,"Jacksonville, FL",51.95,30.3321838,-81.655651
40,"Mesa, AZ",51.06,33.4151117,-111.8314773
41,"Corpus Christi, TX",48.94,27.7477253,-97.4014129
42,"Virginia Beach, VA",48.47,36.8529841,-75.9774183
43,"Columbus, OH",48.39,39.9622601,-83.0007065
44,"Kansas City, MO",48.06,39.100105,-94.5781416
45,"Portland, OR",48.03,45.5202471,-122.6741949
46,"Cleveland, OH",47.44,41.5051613,-81.6934446
47,"Wichita, KS",47.42,37.6922361,-97.3375448
48,"Indianapolis, IN",47.3,39.7683331,-86.1583502
49,"Miami, FL",46.66,25.7742658,-80.1936589
50,"Atlanta, GA",46.41,33.7490987,-84.3901849
51,"Colorado Springs, CO",45.7,38.8339578,-104.8253485
52,"Omaha, NE",45.59,41.2587459,-95.9383758
53,"St. Louis, MO",44.01,38.6268039,-90.1994097
54,"Cincinnati, OH",42.34,39.1014537,-84.5124602
55,"Baltimore, MD",41.61,39.2908816,-76.610759
56,"El Paso, TX",41.55,31.7754152,-106.4646348
57,"Lexington-Fayette, KY",41.31,38.0464066,-84.4970393
58,"Pittsburgh, PA",41.17,40.4416941,-79.9900861
59,"New Orleans, LA",40.87,29.9499323,-90.0701156
60,"Memphis, TN",40.61,35.1490215,-90.0516285
61,"Louisville, KY",39.59,38.2542376,-85.759407
62,"Detroit, MI",32.21,42.3315509,-83.0466403
