main_category,count
Mexican Restaurant,101
Pizza Place,87
Italian Restaurant,84
American Restaurant,81
Sandwich Place,63
Seafood Restaurant,53
Sushi Restaurant,53
Japanese Restaurant,48
Bakery,45
Café,42
Burger Joint,41
New American Restaurant,36
Asian Restaurant,35
Mediterranean Restaurant,35
Restaurant,33
Chinese Restaurant,27
BBQ Joint,27
Food Truck,27
Vietnamese Restaurant,26
Steakhouse,22
Gastropub,21
French Restaurant,20
Vegetarian / Vegan Restaurant,20
Breakfast Spot,18
Thai Restaurant,18
Fast Food Restaurant,15
Deli / Bodega,15
Indian Restaurant,15
Salad Place,14
Diner,14
Greek Restaurant,14
Food Court,13
Donut Shop,13
Taco Place,13
Noodle House,12
Hot Dog Joint,11
Ramen Restaurant,10
Middle Eastern Restaurant,8
Korean Restaurant,8
Fried Chicken Joint,7
Southern / Soul Food Restaurant,7
Tapas Restaurant,7
Burrito Place,7
Creperie,7
Latin American Restaurant,7
Caribbean Restaurant,7
Cajun / Creole Restaurant,6
Peruvian Restaurant,6
German Restaurant,5
Irish Pub,5
Turkish Restaurant,4
Hawaiian Restaurant,4
Wings Joint,4
Cuban Restaurant,4
Snack Place,4
Bagel Shop,4
Eastern European Restaurant,3
Spanish Restaurant,3
Dim Sum Restaurant,3
Food,3
North Indian Restaurant,3
Filipino Restaurant,3
Udon Restaurant,3
Brazilian Restaurant,3
Argentinian Restaurant,2
Comfort Food Restaurant,2
Bistro,2
African Restaurant,2
Afghan Restaurant,2
Theme Restaurant,2
Souvlaki Shop,2
Falafel Restaurant,2
Fish & Chips Shop,2
Russian Restaurant,2
Hotpot Restaurant,2
Lebanese Restaurant,2
Israeli Restaurant,2
Poke Place,2
English Restaurant,1
Pet Café,1
Pakistani Restaurant,1
Belgian Restaurant,1
Australian Restaurant,1
Portuguese Restaurant,1
Modern European Restaurant,1
South Indian Restaurant,1
Mongolian Restaurant,1
Mac & Cheese Joint,1
Buffet,1
Malay Restaurant,1
Empanada Restaurant,1
Kebab Restaurant,1
Cantonese Restaurant,1
Jewish Restaurant,1
Japanese Curry Restaurant,1
Indonesian Restaurant,1
Gluten-free Restaurant,1
Food Stand,1
Dumpling Restaurant,1
Ethiopian Restaurant,1
Yoshoku Restaurant,1
